{'item_id': 0, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 1, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 2, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 3, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 4, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 5, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 6, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 7, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 8, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 9, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 10, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 11, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 12, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 13, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 14, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 15, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 16, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 17, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 18, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 19, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 20, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 21, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 22, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 23, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 24, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 25, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 26, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 27, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 28, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 29, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 30, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 31, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 32, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 33, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 34, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 35, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 36, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 37, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 38, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 39, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 40, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 41, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 42, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 43, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 44, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 45, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 46, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 47, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
